model_id,run_name,status,M,Teff,L,Z,gif_mb,converged_exact
model_000,model_000_combined_14507_full_pressure_minus_eq,verified,0.7737,6333,58.67,2.091e-05,16.87,
model_001,model_001_M0p5602_Z0p003592_T6824,awaiting convergence,0.5602,6824,51.51,0.003592,15.79,False
model_002,model_002_M0p5753_Z0p00707_T6044,awaiting convergence,0.5753,6044,36.22,0.00707,12.94,False
model_003,model_003_M0p7317_Z0p001405_T6745,verification failed,0.7317,6745,50.21,0.001405,15.44,False
model_004,model_004_M0p7595_Z0p0001834_T6876,running: plot,0.7595,6876,60.04,0.0001834,12.94,False
model_005,model_005_M0p6238_Z0p00007156_T6925,verification failed,0.6238,6925,48.84,7.156e-05,14.99,False
model_006,model_006_M0p7194_Z0p001620_T6711,verification failed,0.7194,6711,51.9,0.00162,15.02,False
model_007,model_007_M0p6887_Z0p004060_T6669,running: continue_saturation,0.6887,6669,50.79,0.00406,,False
model_008,model_008_M0p6151_Z0p0004406_T6792,running: continue_saturation,0.6151,6792,60.65,0.0004406,,False
model_009,model_009_M0p6668_Z0p0001120_T6852,running: create,0.6668,6852,51.19,0.000112,,False
